policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_relationship,incident_date,incident_city,incident_location,police_report_available,auto_make,auto_model,fraud_reported,months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,collision_type,incident_type,incident_severity,authorities_contacted_Ambulance,authorities_contacted_Fire,authorities_contacted_Other,authorities_contacted_Police,authorities_contacted_UNKNOWN,incident_state_NC,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,insured_hobbies_base-jumping,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,property_damage_NO,property_damage_UNKNOWN,property_damage_YES
0,0,0,6,7,3,29,0,393,2,12,9,0,-1.3841015394418277,-0.5208621690781372,-0.2146481002372252,-1.037983515684173,0.7852999743161739,-0.38059640458404864,1.3792940460506729,-0.9044739606313364,0.9398196686338296,1.5773540658104512,-0.6436530461079787,0.025030982171491207,-0.25938772746209277,-0.3539605363430538,-0.5104190216733047,-0.5008913453601536,-0.2593656966222748,1.153435097532895,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,1,5,11,3,8,0,242,2,5,13,1,-1.5482621606924905,-0.2999434444370683,0.5969260745555337,1.4386877198855943,0.06558950955789929,-0.38059640458404864,1.5494225979860174,-0.9044739606313364,0.9398196686338296,0.8455993506120337,1.453678446621897,0.025030982171491207,1.4933259954559686,1.068465582338808,2.15671368339571,1.1399825873013123,0.7241523043093783,0.18359756884930764,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,1,6,2,1,5,0,593,0,3,32,0,-1.4273017029288442,-1.2940777053218784,-0.4613201865539873,-0.21242643716091728,0.10503521856521032,-0.38059640458404864,-0.48131336183138274,1.6633423867510941,0.9398196686338296,-1.0569629089038521,-0.6436530461079787,0.025030982171491207,0.6169691339969379,1.308784150335287,2.0168494774489005,0.5199196552749261,1.2298714961803703,-1.594437900403936,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,6,7,0,6,5,341,0,10,2,0,-1.5223420626002804,0.14189400484506953,0.3101619296177711,1.4386877198855943,0.8959523414486011,-0.38059640458404864,-0.9827675464670683,1.1282310080658045,-0.672826495973028,1.723705008850135,-0.6436530461079787,-1.20637123831382,-0.25938772746209277,0.8830305791955791,0.37150249915796446,0.4042809091092335,1.047038021648204,0.34523715696323887,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,2,0,1,9,1,29,0,460,2,4,27,0,-1.3495414086522144,-0.1894840821165338,0.5220972005104181,1.4386877198855943,0.2753671039884929,4.203986563175895,1.3794885104307426,-0.9044739606313364,-1.8277346662591618,-0.17885725066575092,-0.6436530461079787,-1.20637123831382,-0.25938772746209277,-1.1008966260618398,-0.8659072117881114,-0.9594587870516933,-1.1091360573173432,-0.4629607836064173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,1,5,4,3,21,2,68,2,9,29,1,-1.366821474047021,-1.4045370676424127,-1.1672005735639,1.4386877198855943,0.41675851067894937,-0.38059640458404864,-0.5205534956668946,-0.9044739606313364,-1.5847814231197008,-0.9106119658641685,2.5023441929868353,0.025030982171491207,0.6169691339969379,0.8538026452500614,0.35207691499868543,0.38434319425307956,1.0155150087978304,1.3150746856468263,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,9,2,4,0,671,0,0,23,0,-1.4273017029288442,-1.4045370676424127,1.074242551996107,1.4386877198855943,-0.8078570293729136,-0.38059640458404864,1.4041993770124686,0.9307066736517714,0.9398196686338296,-1.4960157380229027,2.5023441929868353,0.025030982171491207,-1.1357445889211235,1.2513025469091024,0.6162648595648805,2.364158279469162,1.0582962405233374,-1.594437900403936,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,2,6,5,23,3,415,0,7,36,0,-1.4100216375340375,-0.5208621690781372,0.40689861674105426,-0.21242643716091728,2.7467531833481393,-0.38059640458404864,-0.9884070134890923,-0.9044739606313364,-0.6517001270043792,-1.4960157380229027,-0.6436530461079787,1.2564332026568026,-0.25938772746209277,0.2663211729451554,-0.1393903642310747,0.8130040636603885,0.21798278368338098,-0.4629607836064173,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,1,4,3,2,44,6,772,1,0,23,1,-1.4273017029288442,-0.962699618360275,-0.7150286364462025,1.4386877198855943,-0.05009065260862148,2.6757922405892467,-0.5339715378917103,-0.9044739606313364,-1.039016891429607,0.5528974645326666,-0.6436530461079787,1.2564332026568026,1.4933259954559686,1.0457327448256277,0.32682365559162263,1.7700143767557757,0.9745350920923449,1.153435097532895,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,1,0,0,2,4,44,5,822,2,1,5,1,-1.4964219645080705,-1.0731589806808095,-0.7847266702408933,1.4386877198855943,1.37788488983845,-0.38059640458404864,1.3776688794458039,-0.9044739606313364,-0.0073458734605911305,1.1383012366914007,-0.6436530461079787,1.2564332026568026,-0.25938772746209277,1.0613209762632372,1.4690480041572311,1.5307617984819288,0.785397014990104,1.153435097532895,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
